,Date,Daily Energy Demand,Date_DateObj,Day
211,03/16/2022,6407639,2022-03-16,Wednesday
212,03/17/2022,6568704,2022-03-17,Thursday
213,03/18/2022,6416437,2022-03-18,Friday
214,03/19/2022,6049955,2022-03-19,Saturday
215,03/20/2022,5543664,2022-03-20,Sunday
216,03/21/2022,6305227,2022-03-21,Monday
217,03/22/2022,6596579,2022-03-22,Tuesday
218,03/23/2022,6707955,2022-03-23,Wednesday
219,03/24/2022,6731143,2022-03-24,Thursday
220,03/25/2022,6630689,2022-03-25,Friday
221,03/26/2022,5931986,2022-03-26,Saturday
222,03/27/2022,5636149,2022-03-27,Sunday
223,03/28/2022,6406528,2022-03-28,Monday
224,03/29/2022,6202965,2022-03-29,Tuesday
225,03/30/2022,6241220,2022-03-30,Wednesday
226,03/31/2022,6346765,2022-03-31,Thursday
227,04/01/2022,6242153,2022-04-01,Friday
228,04/02/2022,6242153,2022-04-02,Saturday
229,04/03/2022,5630434,2022-04-03,Sunday
230,04/04/2022,6290505,2022-04-04,Monday
231,04/05/2022,6466366,2022-04-05,Tuesday
232,04/06/2022,6896385,2022-04-06,Wednesday
233,04/07/2022,7392168,2022-04-07,Thursday
234,04/08/2022,7638350,2022-04-08,Friday
235,04/09/2022,6268305,2022-04-09,Saturday
236,04/10/2022,5659203,2022-04-10,Sunday
237,04/11/2022,6400216,2022-04-11,Monday
238,04/12/2022,6235282,2022-04-12,Tuesday
239,04/13/2022,6372919,2022-04-13,Wednesday
240,04/14/2022,6533991,2022-04-14,Thursday
241,04/15/2022,6190185,2022-04-15,Friday
242,04/16/2022,5792827,2022-04-16,Saturday
243,04/17/2022,5352765,2022-04-17,Sunday
244,04/18/2022,6370665,2022-04-18,Monday
245,04/19/2022,6469656,2022-04-19,Tuesday
246,04/20/2022,6394037,2022-04-20,Wednesday
247,04/21/2022,6406193,2022-04-21,Thursday
248,04/22/2022,6176289,2022-04-22,Friday
249,04/23/2022,5620620,2022-04-23,Saturday
250,04/24/2022,5601983,2022-04-24,Sunday
251,04/25/2022,6594928,2022-04-25,Monday
252,04/26/2022,6626732,2022-04-26,Tuesday
253,04/27/2022,6485403,2022-04-27,Wednesday
254,04/28/2022,6428172,2022-04-28,Thursday
255,04/29/2022,6350019,2022-04-29,Friday
256,04/30/2022,5941988,2022-04-30,Saturday
257,05/01/2022,5602366,2022-05-01,Sunday
258,05/02/2022,6351495,2022-05-02,Monday
259,05/03/2022,5157444,2022-05-03,Tuesday
