,Date,Max Temp,Station ID,Station Location
146,2018-05-27,70.0,GHCND:USW00023174,Los Angeles International Airport
147,2018-05-28,69.0,GHCND:USW00023174,Los Angeles International Airport
148,2018-05-29,69.0,GHCND:USW00023174,Los Angeles International Airport
149,2018-05-30,68.0,GHCND:USW00023174,Los Angeles International Airport
150,2018-05-31,70.0,GHCND:USW00023174,Los Angeles International Airport
151,2018-06-01,70.0,GHCND:USW00023174,Los Angeles International Airport
152,2018-06-02,72.0,GHCND:USW00023174,Los Angeles International Airport
153,2018-06-03,71.0,GHCND:USW00023174,Los Angeles International Airport
154,2018-06-04,72.0,GHCND:USW00023174,Los Angeles International Airport
155,2018-06-05,70.0,GHCND:USW00023174,Los Angeles International Airport
156,2018-06-06,69.0,GHCND:USW00023174,Los Angeles International Airport
157,2018-06-07,71.0,GHCND:USW00023174,Los Angeles International Airport
158,2018-06-08,74.0,GHCND:USW00023174,Los Angeles International Airport
159,2018-06-09,75.0,GHCND:USW00023174,Los Angeles International Airport
160,2018-06-10,73.0,GHCND:USW00023174,Los Angeles International Airport
161,2018-06-11,76.0,GHCND:USW00023174,Los Angeles International Airport
162,2018-06-12,75.0,GHCND:USW00023174,Los Angeles International Airport
163,2018-06-13,72.0,GHCND:USW00023174,Los Angeles International Airport
164,2018-06-14,76.0,GHCND:USW00023174,Los Angeles International Airport
165,2018-06-15,73.0,GHCND:USW00023174,Los Angeles International Airport
166,2018-06-16,73.0,GHCND:USW00023174,Los Angeles International Airport
167,2018-06-17,69.0,GHCND:USW00023174,Los Angeles International Airport
168,2018-06-18,70.0,GHCND:USW00023174,Los Angeles International Airport
169,2018-06-19,70.0,GHCND:USW00023174,Los Angeles International Airport
170,2018-06-20,72.0,GHCND:USW00023174,Los Angeles International Airport
171,2018-06-21,74.0,GHCND:USW00023174,Los Angeles International Airport
172,2018-06-22,73.0,GHCND:USW00023174,Los Angeles International Airport
173,2018-06-23,71.0,GHCND:USW00023174,Los Angeles International Airport
174,2018-06-24,74.0,GHCND:USW00023174,Los Angeles International Airport
175,2018-06-25,73.0,GHCND:USW00023174,Los Angeles International Airport
176,2018-06-26,72.0,GHCND:USW00023174,Los Angeles International Airport
177,2018-06-27,72.0,GHCND:USW00023174,Los Angeles International Airport
178,2018-06-28,72.0,GHCND:USW00023174,Los Angeles International Airport
